Unique.code,Diet,Parasites,Clone,Rep,Block,Week,Infection,InfectionStatus,lifespan.days,WeeklyOffspring,CumulativeWeeklyOffspring,WeeklyLength,Clearance,Clearance_rel,metabolic.rate
M Past MID 9,M,Pasteuria,Mid37,9,2,4,Infected,1,19,0,0,NA,NA,NA,NA
M Past MID 9,M,Pasteuria,Mid37,9,2,5,Infected,1,19,0,0,NA,NA,NA,NA
M Past MID 9,M,Pasteuria,Mid37,9,2,5.5,Infected,1,19,0,0,NA,NA,NA,NA
M Past STD 1,M,Pasteuria,Standard,1,1,1,Exposed,0,9,0,0,909.56,-0.079658579809059,-0.0962874872450034,NA
M Past STD 1,M,Pasteuria,Standard,1,1,2,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 1,M,Pasteuria,Standard,1,1,3,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 1,M,Pasteuria,Standard,1,1,4,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 1,M,Pasteuria,Standard,1,1,5,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 1,M,Pasteuria,Standard,1,1,5.5,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 10,M,Pasteuria,Standard,10,2,1,Exposed,0,23,0,0,929.23,0.336427201928392,0.389623065180747,0.000621313949841713
M Past STD 10,M,Pasteuria,Standard,10,2,2,Exposed,0,23,0,0,1105.02,-0.221570631865781,-0.181456244898486,0.00445629087929235
M Past STD 10,M,Pasteuria,Standard,10,2,3,Exposed,0,23,2,2,1182.38,0.235940230860931,0.168767124183652,-0.00129809302374445
M Past STD 10,M,Pasteuria,Standard,10,2,4,Exposed,0,23,1,3,NA,NA,NA,NA
M Past STD 10,M,Pasteuria,Standard,10,2,5,Exposed,0,23,0,3,NA,NA,NA,NA
M Past STD 10,M,Pasteuria,Standard,10,2,5.5,Exposed,0,23,0,3,NA,NA,NA,NA
M Past STD 2,M,Pasteuria,Standard,2,1,1,Exposed,0,9,0,0,947.31,0.0334022814914735,0.0372213300521927,-0.00089958008020625
M Past STD 2,M,Pasteuria,Standard,2,1,2,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 2,M,Pasteuria,Standard,2,1,3,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 2,M,Pasteuria,Standard,2,1,4,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 2,M,Pasteuria,Standard,2,1,5,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 2,M,Pasteuria,Standard,2,1,5.5,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 3,M,Pasteuria,Standard,3,1,1,Exposed,0,20,0,0,978.33,-0.079658579809059,-0.0832265356048685,0.000860986392247205
M Past STD 3,M,Pasteuria,Standard,3,1,1,Exposed,0,20,0,0,978.33,-0.079658579809059,-0.0832265356048685,0.00018439075771451
M Past STD 3,M,Pasteuria,Standard,3,1,2,Exposed,0,20,0,0,1270.19,-0.318756425262363,-0.197570258988833,0.00228866581872994
M Past STD 3,M,Pasteuria,Standard,3,1,3,Exposed,0,20,12,12,NA,NA,NA,NA
M Past STD 3,M,Pasteuria,Standard,3,1,4,Exposed,0,20,0,12,NA,NA,NA,NA
M Past STD 3,M,Pasteuria,Standard,3,1,5,Exposed,0,20,0,12,NA,NA,NA,NA
M Past STD 3,M,Pasteuria,Standard,3,1,5.5,Exposed,0,20,0,12,NA,NA,NA,NA
M Past STD 4,M,Pasteuria,Standard,4,1,1,Infected,1,14,0,0,922.16,-0.139791350039113,-0.164387101816153,0.000675056077906277
M Past STD 4,M,Pasteuria,Standard,4,1,2,Infected,1,14,0,0,1178.38,-0.417733284482454,-0.300834995205949,NA
M Past STD 4,M,Pasteuria,Standard,4,1,3,Infected,1,14,0,0,NA,NA,NA,NA
M Past STD 4,M,Pasteuria,Standard,4,1,4,Infected,1,14,0,0,NA,NA,NA,NA
M Past STD 4,M,Pasteuria,Standard,4,1,5,Infected,1,14,0,0,NA,NA,NA,NA
M Past STD 4,M,Pasteuria,Standard,4,1,5.5,Infected,1,14,0,0,NA,NA,NA,NA
M Past STD 5,M,Pasteuria,Standard,5,1,1,Exposed,0,9,0,0,952.73,-0.139791350039113,-0.154007055559822,0.00041976753981835
M Past STD 5,M,Pasteuria,Standard,5,1,2,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 5,M,Pasteuria,Standard,5,1,3,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 5,M,Pasteuria,Standard,5,1,4,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 5,M,Pasteuria,Standard,5,1,5,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 5,M,Pasteuria,Standard,5,1,5.5,Exposed,0,9,0,0,NA,NA,NA,NA
M Past STD 6,M,Pasteuria,Standard,6,2,1,Exposed,0,13,0,0,932.37,0.147582881900798,0.169769396312005,-0.000164565517143843
M Past STD 6,M,Pasteuria,Standard,6,2,2,Exposed,0,13,0,0,NA,NA,NA,NA
M Past STD 6,M,Pasteuria,Standard,6,2,3,Exposed,0,13,0,0,NA,NA,NA,NA
M Past STD 6,M,Pasteuria,Standard,6,2,4,Exposed,0,13,0,0,NA,NA,NA,NA
M Past STD 6,M,Pasteuria,Standard,6,2,5,Exposed,0,13,0,0,NA,NA,NA,NA
M Past STD 6,M,Pasteuria,Standard,6,2,5.5,Exposed,0,13,0,0,NA,NA,NA,NA
M Past STD 7,M,Pasteuria,Standard,7,2,1,Exposed,0,6,0,0,NA,NA,NA,-0.000247349537844286
M Past STD 7,M,Pasteuria,Standard,7,2,2,Exposed,0,6,0,0,NA,NA,NA,NA
M Past STD 7,M,Pasteuria,Standard,7,2,3,Exposed,0,6,0,0,NA,NA,NA,NA
M Past STD 7,M,Pasteuria,Standard,7,2,4,Exposed,0,6,0,0,NA,NA,NA,NA
M Past STD 7,M,Pasteuria,Standard,7,2,5,Exposed,0,6,0,0,NA,NA,NA,NA
M Past STD 7,M,Pasteuria,Standard,7,2,5.5,Exposed,0,6,0,0,NA,NA,NA,NA
M Past STD 8,M,Pasteuria,Standard,8,2,1,Exposed,0,37,0,0,941.39,0.262768378454077,0.296506309739277,-0.000140596843242293
M Past STD 8,M,Pasteuria,Standard,8,2,2,Exposed,0,37,1,1,1176.45,-0.0214960864400036,-0.0155314660494578,0.00154695934662609
M Past STD 8,M,Pasteuria,Standard,8,2,3,Exposed,0,37,5,6,1321.55,0,0,0.0015414439764076
M Past STD 8,M,Pasteuria,Standard,8,2,4,Exposed,0,37,5,11,1407.79,0.1060907196782,0.053530542364974,0.00371766218033551
M Past STD 8,M,Pasteuria,Standard,8,2,5,Exposed,0,37,7,18,1544,-0.227872732133411,-0.0955867658080633,0.00351423746832761
M Past STD 8,M,Pasteuria,Standard,8,2,5.5,Exposed,0,37,1,19,1528.45,NA,NA,NA
M Past STD 9,M,Pasteuria,Standard,9,2,1,Exposed,0,22,0,0,928.49,0.0406915458239323,0.0472008399588456,0.00172216894758464
M Past STD 9,M,Pasteuria,Standard,9,2,2,Exposed,0,22,1,1,1151.28,-0.144594909274233,-0.109091542561323,0.00197818276945502
M Past STD 9,M,Pasteuria,Standard,9,2,3,Exposed,0,22,8,9,1230.11,0.12671668760982,0.0837424984311326,0.000178021499902893
M Past STD 9,M,Pasteuria,Standard,9,2,4,Exposed,0,22,0,9,NA,NA,NA,NA
M Past STD 9,M,Pasteuria,Standard,9,2,5,Exposed,0,22,0,9,NA,NA,NA,NA
M Past STD 9,M,Pasteuria,Standard,9,2,5.5,Exposed,0,22,0,9,NA,NA,NA,NA
M Uninf MID 1,M,Uninfected,Mid37,1,1,1,Uninfected,NA,7,0,0,873.08,-0.390451684189175,-0.512223171639357,NA
M Uninf MID 1,M,Uninfected,Mid37,1,1,2,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 1,M,Uninfected,Mid37,1,1,3,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 1,M,Uninfected,Mid37,1,1,4,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 1,M,Uninfected,Mid37,1,1,5,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 1,M,Uninfected,Mid37,1,1,5.5,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 10,M,Uninfected,Mid37,10,2,1,Uninfected,0,37,0,0,911.39,-0.102242593153749,-0.123090160419539,0.00193303901898889
M Uninf MID 10,M,Uninfected,Mid37,10,2,2,Uninfected,0,37,0,0,1136.98,0.0207006494693712,0.0160132071109574,0.000520360683355091
M Uninf MID 10,M,Uninfected,Mid37,10,2,3,Uninfected,0,37,1,1,1237.44,-0.280258685481377,-0.183025153552683,0.000356420958424837
M Uninf MID 10,M,Uninfected,Mid37,10,2,4,Uninfected,0,37,0,1,1313.14,0.0416183144947232,0.0241358404479886,-0.00135085924190438
M Uninf MID 10,M,Uninfected,Mid37,10,2,5,Uninfected,0,37,3,4,1370.05,-0.0269499488334954,-0.0143577078116207,0.00171780328471296
M Uninf MID 10,M,Uninfected,Mid37,10,2,5.5,Uninfected,0,37,1,5,1408.96,NA,NA,NA
M Uninf MID 2,M,Uninfected,Mid37,2,1,1,Uninfected,0,37,0,0,937.52,-0.21091135541707,-0.239960014871356,-0.00175156216733595
M Uninf MID 2,M,Uninfected,Mid37,2,1,2,Uninfected,0,37,0,0,1153.78,0.0763029863682646,0.0573185932157727,0.000480822583989213
M Uninf MID 2,M,Uninfected,Mid37,2,1,3,Uninfected,0,37,1,1,1232.16,0.0854888239792506,0.0563086520010121,0.0019580893866074
M Uninf MID 2,M,Uninfected,Mid37,2,1,4,Uninfected,0,37,1,2,1311.27,-0.0370431689869098,-0.0215438780600966,-0.000332273219058935
M Uninf MID 2,M,Uninfected,Mid37,2,1,5,Uninfected,0,37,3,5,1369.59,-0.123684372433375,-0.0659376822107977,0.000952479613394206
M Uninf MID 2,M,Uninfected,Mid37,2,1,5.5,Uninfected,0,37,3,8,1360.07,NA,NA,NA
M Uninf MID 3,M,Uninfected,Mid37,3,1,1,Uninfected,0,23,0,0,1006.71,-0.288982147115745,-0.285142693870835,0.00114784589030147
M Uninf MID 3,M,Uninfected,Mid37,3,1,2,Uninfected,0,23,1,1,1173.11,-0.186709010775796,-0.135671243075178,0.00264271713986608
M Uninf MID 3,M,Uninfected,Mid37,3,1,3,Uninfected,0,23,0,1,1174.3,-0.208605238256677,-0.151274974352013,0.00057855059862766
M Uninf MID 3,M,Uninfected,Mid37,3,1,4,Uninfected,0,23,0,1,NA,NA,NA,NA
M Uninf MID 3,M,Uninfected,Mid37,3,1,5,Uninfected,0,23,0,1,NA,NA,NA,NA
M Uninf MID 3,M,Uninfected,Mid37,3,1,5.5,Uninfected,0,23,0,1,NA,NA,NA,NA
M Uninf MID 4,M,Uninfected,Mid37,4,1,1,Uninfected,NA,7,0,0,886.91,-0.21091135541707,-0.268127191631413,NA
M Uninf MID 4,M,Uninfected,Mid37,4,1,2,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 4,M,Uninfected,Mid37,4,1,3,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 4,M,Uninfected,Mid37,4,1,4,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 4,M,Uninfected,Mid37,4,1,5,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 4,M,Uninfected,Mid37,4,1,5.5,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 5,M,Uninfected,Mid37,5,1,1,Uninfected,0,14,0,0,869,-0.304009389049483,-0.402575595203517,0.000463286356074514
M Uninf MID 5,M,Uninfected,Mid37,5,1,2,Uninfected,0,14,0,0,1079.33,-0.119320360532115,-0.102425020613301,NA
M Uninf MID 5,M,Uninfected,Mid37,5,1,3,Uninfected,0,14,0,0,NA,NA,NA,NA
M Uninf MID 5,M,Uninfected,Mid37,5,1,4,Uninfected,0,14,0,0,NA,NA,NA,NA
M Uninf MID 5,M,Uninfected,Mid37,5,1,5,Uninfected,0,14,0,0,NA,NA,NA,NA
M Uninf MID 5,M,Uninfected,Mid37,5,1,5.5,Uninfected,0,14,0,0,NA,NA,NA,NA
M Uninf MID 6,M,Uninfected,Mid37,6,2,1,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 6,M,Uninfected,Mid37,6,2,2,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 6,M,Uninfected,Mid37,6,2,3,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 6,M,Uninfected,Mid37,6,2,4,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 6,M,Uninfected,Mid37,6,2,5,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 6,M,Uninfected,Mid37,6,2,5.5,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 7,M,Uninfected,Mid37,7,2,1,Uninfected,0,22,0,0,815.55,0.155754592569165,0.234174540638615,0.00160644062364217
M Uninf MID 7,M,Uninfected,Mid37,7,2,1,Uninfected,0,22,0,0,815.55,0.155754592569165,0.234174540638615,0.00120042213130787
M Uninf MID 7,M,Uninfected,Mid37,7,2,2,Uninfected,0,22,0,0,1093.28,-0.156639255984891,-0.131050235242791,-0.000465196476892172
M Uninf MID 7,M,Uninfected,Mid37,7,2,3,Uninfected,0,22,0,0,1128,-0.107536528665268,-0.0845157819221774,-0.000297030525533156
M Uninf MID 7,M,Uninfected,Mid37,7,2,4,Uninfected,0,22,1,1,NA,NA,NA,NA
M Uninf MID 7,M,Uninfected,Mid37,7,2,5,Uninfected,0,22,0,1,NA,NA,NA,NA
M Uninf MID 7,M,Uninfected,Mid37,7,2,5.5,Uninfected,0,22,0,1,NA,NA,NA,NA
M Uninf MID 8,M,Uninfected,Mid37,8,2,1,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 8,M,Uninfected,Mid37,8,2,2,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 8,M,Uninfected,Mid37,8,2,3,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 8,M,Uninfected,Mid37,8,2,4,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 8,M,Uninfected,Mid37,8,2,5,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 8,M,Uninfected,Mid37,8,2,5.5,Uninfected,NA,7,0,0,NA,NA,NA,NA
M Uninf MID 9,M,Uninfected,Mid37,9,2,1,Uninfected,0,37,0,0,840.55,0.155754592569165,0.220451854264653,0.000514869928191951
M Uninf MID 9,M,Uninfected,Mid37,9,2,2,Uninfected,0,37,0,0,1066.26,-0.175186029890361,-0.154089567481371,-0.000681550642857114
M Uninf MID 9,M,Uninfected,Mid37,9,2,3,Uninfected,0,37,2,2,1127.9,-0.256670591297606,-0.201759929643987,0.000899789375420909
M Uninf MID 9,M,Uninfected,Mid37,9,2,4,Uninfected,0,37,0,2,1216.25,0.0628293909373117,0.0424734112928615,-0.000935408236523277
M Uninf MID 9,M,Uninfected,Mid37,9,2,5,Uninfected,0,37,0,2,1280.35,-0.406729662442799,-0.248112379978376,-0.000490972790918618
M Uninf MID 9,M,Uninfected,Mid37,9,2,5.5,Uninfected,0,37,0,2,1264.29,NA,NA,NA
M Uninf STD 1,M,Uninfected,Standard,1,1,1,Uninfected,0,37,0,0,978.23,-0.273765878317124,-0.286086498665036,0.00176976176725217
M Uninf STD 1,M,Uninfected,Standard,1,1,2,Uninfected,0,37,1,1,1167.11,0.0250161859565851,0.0183652783984519,-0.000165892773799556
M Uninf STD 1,M,Uninfected,Standard,1,1,3,Uninfected,0,37,4,5,1271.37,-0.0813169402823869,-0.0503080067316414,0.000841352704998797
M Uninf STD 1,M,Uninfected,Standard,1,1,4,Uninfected,0,37,5,10,1308.27,-0.643182916446224,-0.375785254941485,0.00222086099885855
M Uninf STD 1,M,Uninfected,Standard,1,1,5,Uninfected,0,37,3,13,1453.07,-0.10370410781962,-0.0491159882345256,-0.000298382602623397
M Uninf STD 1,M,Uninfected,Standard,1,1,5.5,Uninfected,0,37,5,18,1460.4,NA,NA,NA
M Uninf STD 10,M,Uninfected,Standard,10,2,1,Uninfected,0,21,0,0,976.31,-0.0210050590847751,-0.0220367950290907,0.00174330700223496
M Uninf STD 10,M,Uninfected,Standard,10,2,2,Uninfected,0,21,0,0,1146.44,-0.349736072428542,-0.266095645507892,0.000261578390664204
M Uninf STD 10,M,Uninfected,Standard,10,2,3,Uninfected,0,21,4,4,NA,NA,NA,-0.000170491911314716
M Uninf STD 10,M,Uninfected,Standard,10,2,4,Uninfected,0,21,0,4,NA,NA,NA,NA
M Uninf STD 10,M,Uninfected,Standard,10,2,5,Uninfected,0,21,0,4,NA,NA,NA,NA
M Uninf STD 10,M,Uninfected,Standard,10,2,5.5,Uninfected,0,21,0,4,NA,NA,NA,NA
M Uninf STD 2,M,Uninfected,Standard,2,1,1,Uninfected,0,18,0,0,944.28,-0.21091135541707,-0.236536616359037,0.000798440392839441
M Uninf STD 2,M,Uninfected,Standard,2,1,2,Uninfected,0,18,1,1,1146.33,-0.142112800201562,-0.108146851535915,-0.000502870506786191
M Uninf STD 2,M,Uninfected,Standard,2,1,3,Uninfected,0,18,5,6,NA,NA,NA,NA
M Uninf STD 2,M,Uninfected,Standard,2,1,4,Uninfected,0,18,0,6,NA,NA,NA,NA
M Uninf STD 2,M,Uninfected,Standard,2,1,5,Uninfected,0,18,0,6,NA,NA,NA,NA
M Uninf STD 2,M,Uninfected,Standard,2,1,5.5,Uninfected,0,18,0,6,NA,NA,NA,NA
M Uninf STD 3,M,Uninfected,Standard,3,1,1,Uninfected,0,20,0,0,918.78,-0.318852242991194,-0.377716894710082,-0.000510298356632188
M Uninf STD 3,M,Uninfected,Standard,3,1,2,Uninfected,0,20,0,0,1164.36,-0.0961851645866676,-0.0709469185815164,0.000430600459205782
M Uninf STD 3,M,Uninfected,Standard,3,1,3,Uninfected,0,20,6,6,NA,NA,NA,NA
M Uninf STD 3,M,Uninfected,Standard,3,1,4,Uninfected,0,20,0,6,NA,NA,NA,NA
M Uninf STD 3,M,Uninfected,Standard,3,1,5,Uninfected,0,20,0,6,NA,NA,NA,NA
M Uninf STD 3,M,Uninfected,Standard,3,1,5.5,Uninfected,0,20,0,6,NA,NA,NA,NA
M Uninf STD 4,M,Uninfected,Standard,4,1,1,Uninfected,0,24,0,0,926.25,-0.0744651931444756,-0.0867954338475823,0.000952311065157844
M Uninf STD 4,M,Uninfected,Standard,4,1,2,Uninfected,0,24,0,0,1108.25,-0.0488441512532004,-0.0397683056002121,0.00275918925268723
M Uninf STD 4,M,Uninfected,Standard,4,1,3,Uninfected,0,24,1,1,1141.86,-0.371905918857016,-0.285237992282231,0.000520428480812087
M Uninf STD 4,M,Uninfected,Standard,4,1,4,Uninfected,0,24,0,1,NA,NA,NA,NA
M Uninf STD 4,M,Uninfected,Standard,4,1,5,Uninfected,0,24,0,1,NA,NA,NA,NA
M Uninf STD 4,M,Uninfected,Standard,4,1,5.5,Uninfected,0,24,0,1,NA,NA,NA,NA
M Uninf STD 5,M,Uninfected,Standard,5,1,1,Uninfected,0,21,0,0,944.85,-0.242746809026796,-0.271911637253095,0.000842290542719323
M Uninf STD 5,M,Uninfected,Standard,5,1,2,Uninfected,0,21,0,0,1156.74,-0.0488441512532004,-0.0365040507875047,0.00233964383265202
M Uninf STD 5,M,Uninfected,Standard,5,1,3,Uninfected,0,21,3,3,1196.54,-0.479470120752969,-0.334893798361085,NA
M Uninf STD 5,M,Uninfected,Standard,5,1,4,Uninfected,0,21,0,3,NA,NA,NA,NA
M Uninf STD 5,M,Uninfected,Standard,5,1,5,Uninfected,0,21,0,3,NA,NA,NA,NA
M Uninf STD 5,M,Uninfected,Standard,5,1,5.5,Uninfected,0,21,0,3,NA,NA,NA,NA
M Uninf STD 6,M,Uninfected,Standard,6,2,1,Uninfected,NA,6,0,0,NA,NA,NA,NA
M Uninf STD 6,M,Uninfected,Standard,6,2,2,Uninfected,NA,6,0,0,NA,NA,NA,NA
M Uninf STD 6,M,Uninfected,Standard,6,2,3,Uninfected,NA,6,0,0,NA,NA,NA,NA
M Uninf STD 6,M,Uninfected,Standard,6,2,4,Uninfected,NA,6,0,0,NA,NA,NA,NA
M Uninf STD 6,M,Uninfected,Standard,6,2,5,Uninfected,NA,6,0,0,NA,NA,NA,NA
