Unique.code,Diet,Parasites,Clone,Rep,Block,lifespan.days,Infection,InfectionStatus,Day,Offspring,Length
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,33,4,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,35,0,1699.57
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,36,NA,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,37,4,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,38,3,1696.82
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,7,0,999.12
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,8,0,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,10,0,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,12,2,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,14,4,1332.76
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,15,0,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,16,0,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,19,4,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,21,0,1421.68
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,22,NA,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,23,4,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,26,5,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,28,4,1681.85
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,29,NA,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,30,0,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,33,6,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,35,0,1768.47
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,36,NA,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,37,9,NA
S Uninf MID 3,S,Uninfected,Mid37,3,1,37,Uninfected,0,38,0,1776.14
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,7,0,923.45
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,8,0,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,10,0,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,12,2,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,14,0,1268.02
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,15,0,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,16,4,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,19,2,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,21,0,1446.65
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,22,NA,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,23,3,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,26,3,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,28,0,1545.11
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,29,NA,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,30,5,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,33,4,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,35,4,1706.65
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,36,NA,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,37,0,NA
S Uninf MID 4,S,Uninfected,Mid37,4,1,37,Uninfected,0,38,4,1736.23
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,7,0,983.76
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,8,0,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,10,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,12,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,14,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,15,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,16,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,19,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,21,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,22,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,23,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,26,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,28,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,29,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,30,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,33,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,35,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,36,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,37,NA,NA
S Uninf MID 5,S,Uninfected,Mid37,5,1,7,Uninfected,NA,38,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,7,0,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,8,0,981.83
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,10,0,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,12,1,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,14,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,15,0,1348.09
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,16,12,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,19,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,21,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,22,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,23,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,26,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,28,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,29,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,30,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,33,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,35,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,36,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,37,NA,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,15,Uninfected,0,38,NA,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,7,0,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,8,0,1011.2
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,10,0,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,12,2,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,14,NA,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,15,0,1284.37
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,16,3,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,19,2,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,21,NA,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,22,0,1355.55
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,23,2,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,26,4,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,28,NA,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,29,0,1562.27
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,30,3,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,33,4,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,35,NA,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,36,0,1636.05
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,37,6,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,37,Uninfected,0,38,0,1678.54
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,7,0,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,8,0,1018.82
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,10,0,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,12,1,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,14,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,15,0,1339.74
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,16,4,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,19,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,21,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,22,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,23,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,26,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,28,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,29,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,30,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,33,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,35,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,36,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,37,NA,NA
S Uninf MID 8,S,Uninfected,Mid37,8,2,17,Uninfected,0,38,NA,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,7,0,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,8,0,999.61
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,10,0,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,12,1,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,14,NA,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,15,0,1288.37
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,16,3,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,19,3,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,21,NA,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,22,0,1374.38
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,23,0,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,26,3,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,28,NA,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,29,0,1493.25
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,30,2,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,33,0,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,35,NA,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,36,0,1590.8
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,37,1,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,37,Uninfected,0,38,5,1599.96
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,7,0,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,8,0,1002.38
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,10,0,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,12,2,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,14,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,15,0,1286.88
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,16,2,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,19,2,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,21,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,22,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,23,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,26,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,28,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,29,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,30,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,33,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,35,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,36,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,37,NA,NA
S Uninf MID 10,S,Uninfected,Mid37,10,2,16,Uninfected,0,38,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,7,0,882.37
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,8,0,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,10,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,12,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,14,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,15,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,16,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,19,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,21,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,22,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,23,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,26,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,28,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,29,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,30,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,33,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,35,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,36,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,37,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,7,Uninfected,NA,38,NA,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,7,0,1020.42
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,8,0,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,10,0,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,12,1,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,14,0,1156.26
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,15,0,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,16,0,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,19,0,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,21,0,1289.28
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,22,NA,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,23,3,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,26,1,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,28,0,1385.82
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,29,NA,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,30,1,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,33,2,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,35,0,1406.65
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,36,NA,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,37,0,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,37,Uninfected,0,38,0,1421.27
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,7,0,992.09
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,8,0,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,10,0,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,12,2,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,14,0,1135.12
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,15,0,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,16,0,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,19,1,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,21,0,1213.19
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,22,NA,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,23,2,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,26,1,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,28,0,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,29,NA,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,30,0,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,33,3,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,35,0,1504.57
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,36,NA,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,37,6,NA
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,37,Uninfected,0,38,0,1513.99
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,7,0,978.94
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,8,0,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,10,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,12,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,14,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,15,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,16,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,19,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,21,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,22,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,23,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,26,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,28,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,29,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,30,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,33,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,35,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,36,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,37,NA,NA
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,7,Uninfected,NA,38,NA,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,7,0,987.26
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,8,0,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,10,0,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,12,1,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,14,0,1139.63
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,15,0,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,16,0,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,19,1,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,21,0,1227.12
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,22,NA,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,23,3,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,26,0,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,28,0,1322.92
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,29,NA,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,30,4,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,33,0,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,35,0,1398.09
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,36,NA,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,37,2,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,37,Uninfected,0,38,0,1429.56
S:M Uninf MID 6,SM,Uninfected,Mid37,6,2,37,Uninfected,0,7,0,NA
